CustomerID,Name,Email,emailVerified,image,Age,Gender,Location,mobileNumber,CustomerSegment,role,banned,banReason,banExpires,RegistrationDate,updatedAt,BaseProduct,CrossSellProduct,OriginalPrice,Discount%,DiscountedPrice,Strategy
51961386-536f-4a56-9c0e-c5b00d2e84c0,Angela Stewart,user0003@example.com,True,,19,Male,Gampaha,724208709,rare_shoppers,user,False,,,2023-06-30 00:00:00+00:00,2023-06-30 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
f470de49-930a-4dac-848d-437fab90fb29,Timothy Bandara,user0008@example.com,True,,59,Female,Kilinochchi,786726461,regular_shoppers,user,False,,,2023-03-26 00:00:00+00:00,2023-03-26 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
b98d141d-fe8b-47e1-8f67-3dcd8c4cf7b0,Priya Rajapaksa,user0011@example.com,True,,34,Female,Negombo,751638598,regular_shoppers,user,False,,,2023-10-17 00:00:00+00:00,2023-10-17 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
1d7afcc6-5682-408e-8c37-2d68fdd4cf5c,Carmen Jayasinghe,user0016@example.com,True,,65,Male,Moratuwa,747818761,frequent_shoppers,user,False,,,2025-06-21 00:00:00+00:00,2025-06-21 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
f54b6fb2-23f4-44f2-8764-ab8769b16ea7,Michael Santos,user0022@example.com,True,,75,Female,Trincomalee,742287985,regular_shoppers,user,False,,,2023-01-04 00:00:00+00:00,2023-01-04 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
7beb9561-effa-4a63-8eed-4f33a0fff270,Lauren Nelson,user0027@example.com,True,,30,Male,Kandy,768646621,regular_shoppers,user,False,,,2023-09-12 00:00:00+00:00,2023-09-12 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
30c7f73a-1ea9-43d6-9fee-77e18f2520da,Joel Jayasinghe,user0037@example.com,True,,22,Other,Kilinochchi,752550733,regular_shoppers,user,False,,,2023-06-01 00:00:00+00:00,2023-06-01 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
d4dd241c-1c2b-4972-a0ec-ebec8e176811,Chamara Santos,user0038@example.com,True,,61,Male,Vavuniya,717437386,frequent_shoppers,user,False,,,2023-09-22 00:00:00+00:00,2023-09-22 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
dcf1ef04-72cb-4011-bc73-899a7f0c83df,Daniel Perera,user0039@example.com,True,,28,Female,Kilinochchi,783932683,occasional_shoppers,user,False,,,2024-05-28 00:00:00+00:00,2024-05-28 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
98a57635-32d0-4371-8d65-5c4ae3f6f4f4,Chamara Dissanayake,user0052@example.com,True,,55,Female,Kurunegala,742507072,occasional_shoppers,user,False,,,2025-02-17 00:00:00+00:00,2025-02-17 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
931bb39e-d077-48bd-b296-4c782b6b8537,Abigail Shaffer,user0059@example.com,True,,63,Female,Vavuniya,736770527,frequent_shoppers,user,False,,,2025-09-01 00:00:00+00:00,2025-09-01 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
7bd1e51e-0a24-47c1-bdef-6a30589e4309,Buddhika Stewart,user0060@example.com,True,,59,Female,Trincomalee,733496796,occasional_shoppers,user,False,,,2023-03-18 00:00:00+00:00,2023-03-18 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
6cfa9baf-52fe-4a1a-8930-d244e252deb7,Anil Henderson,user0071@example.com,True,,22,Male,Kurunegala,761335545,occasional_shoppers,user,False,,,2025-05-10 00:00:00+00:00,2025-05-10 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
e9f622bb-2b82-4b3d-ad5a-9cb21eedf8b9,Carmen Herath,user0072@example.com,True,,42,Female,Vavuniya,782109613,occasional_shoppers,user,False,,,2023-08-31 00:00:00+00:00,2023-08-31 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
98c0300a-0195-4d96-b0b5-a3b2c92eba95,Kim Nelson,user0099@example.com,True,,22,Male,Galle,736246038,rare_shoppers,user,False,,,2025-10-12 00:00:00+00:00,2025-10-12 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
d58a3f7b-f285-41a3-922c-f4d6d5c057f9,Timothy Shaffer,user0102@example.com,True,,30,Female,Vavuniya,738138531,,user,False,,,2025-08-03 00:00:00+00:00,2025-08-03 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
eb894d6c-62c4-4717-a750-a69428496af1,Connor Hill,user0110@example.com,True,,74,Female,Anuradhapura,782060023,occasional_shoppers,user,False,,,2023-05-09 00:00:00+00:00,2023-05-09 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
8a94316f-41ad-4f95-83a8-f870f658cab9,David Davis,user0114@example.com,True,,71,Male,Colombo,777838742,frequent_shoppers,user,False,,,2025-02-25 00:00:00+00:00,2025-02-25 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
c2b6c12e-fd3c-47b5-a665-564765d74b0f,Isuru Jayasinghe,user0131@example.com,True,,62,,Matara,749666982,regular_shoppers,user,False,,,2024-01-22 00:00:00+00:00,2024-01-22 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
515cb2f8-2573-442e-a0a1-e72abe59e3b5,Chamara Henderson,user0132@example.com,True,,68,Female,Moratuwa,752476240,frequent_shoppers,user,False,,,2023-01-25 00:00:00+00:00,2023-01-25 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
532758ed-cdff-4159-ac04-5f672a5aa219,Kumari Hill,user0137@example.com,True,,40,Female,Kurunegala,725845304,occasional_shoppers,user,False,,,2024-07-04 00:00:00+00:00,2024-07-04 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
6ac46283-496f-430f-b385-d768076681d6,Isuru Wijesinghe,user0143@example.com,True,,68,Male,Trincomalee,710196231,regular_shoppers,user,False,,,2023-01-20 00:00:00+00:00,2023-01-20 00:00:00+00,Raigam Brown Bread,Prima Yogurt,697.09,15,592.5265,Cross-Sell
