id,name,email,emailVerified,image,age,gender,City,mobileNumber,customerSegment,role,banned,banReason,banExpires,createdAt,updatedAt
1dfbe10f-a618-48de-b278-822972491510,Buddhika Nelson,user0001@example.com,True,,25,,Kurunegala,0799663907,regular_shoppers,user,False,,,2024-04-16 00:00:00+00,2024-04-16 00:00:00+00
e4e3d271-57ce-489d-90f0-e6e39650c809,Crystal Santos,user0002@example.com,True,,65,,,0795918360,occasional_shoppers,user,False,,,2025-05-29 00:00:00+00,2025-05-29 00:00:00+00
2453b363-6bca-4d91-a1d6-c80e963ad7fb,Angela Stewart,user0003@example.com,True,,19,Male,Gampaha,0724208709,rare_shoppers,user,False,,,2023-06-30 00:00:00+00,2023-06-30 00:00:00+00
f3a98744-f4db-4ba0-9ae3-0ea536d4c2f7,Patricia Garcia,user0004@example.com,True,,51,Female,Trincomalee,0781216573,frequent_shoppers,user,False,,,2025-11-11 00:00:00+00,2025-11-11 00:00:00+00
820e2ecf-776b-43c1-8fc2-f4d8272ece6d,Cynthia Ray,user0005@example.com,True,,40,Female,Negombo,0730517835,frequent_shoppers,user,False,,,2024-02-09 00:00:00+00,2024-02-09 00:00:00+00
1837c274-6e17-470b-8db4-7fe2307af9e9,Buddhika Seneviratne,user0006@example.com,True,,29,Female,Gampaha,0794183695,occasional_shoppers,user,False,,,2024-10-23 00:00:00+00,2024-10-23 00:00:00+00
ec1c560e-ac41-4c4c-97f9-82e021c570f1,Lisa Davis,user0007@example.com,True,,48,Male,Kandy,0717635653,frequent_shoppers,user,False,,,2025-08-03 00:00:00+00,2025-08-03 00:00:00+00
e854e949-c932-4af0-b39f-bfdb7d8e7aa6,Timothy Bandara,user0008@example.com,True,,59,Female,Kilinochchi,0786726461,regular_shoppers,user,False,,,2023-03-26 00:00:00+00,2023-03-26 00:00:00+00
d68bf30a-7b51-4cc1-bd80-d56f4620816d,Chamara Ray,user0009@example.com,False,,48,Female,Ratnapura,0768754920,frequent_shoppers,user,False,,,2023-12-20 00:00:00+00,2023-12-20 00:00:00+00
f460ae64-f0d7-4c85-b9a6-4c6b07b22905,Carmen Perera,user0010@example.com,False,,28,Female,Ratnapura,0722684373,frequent_shoppers,user,False,,,2024-11-16 00:00:00+00,2024-11-16 00:00:00+00
1eaf38b4-da46-4af4-8e3b-0a807efb5acf,Priya Rajapaksa,user0011@example.com,True,,34,Female,Negombo,0751638598,regular_shoppers,user,False,,,2023-10-17 00:00:00+00,2023-10-17 00:00:00+00
a8b38931-c5c2-41ac-9383-9e24a4378049,Chamara Wickramasinghe,user0012@example.com,True,,26,Female,Nuwara Eliya,0780651318,regular_shoppers,user,False,,,2023-09-19 00:00:00+00,2023-09-19 00:00:00+00
c2c55084-baf5-48fb-9f6c-37b5a57fcf1c,Monica Gunasekara,user0013@example.com,True,,50,Male,Anuradhapura,0728463709,occasional_shoppers,user,False,,,2024-01-29 00:00:00+00,2024-01-29 00:00:00+00
c4c2dffc-da8c-47d0-b4c2-8b26d798d829,Andrew Santos,user0014@example.com,True,,68,Female,Kilinochchi,0792950779,,user,False,,,2024-11-20 00:00:00+00,2024-11-20 00:00:00+00
